,ingredients,Count
0,a组料酒,1
1,a组淀粉,1
2,a组盐,1
3,b组料酒,1
4,b组水淀粉,1
5,b组白糖,1
6,b组盐巴,1
7,b组酱油,1
8,b组醋,1
9,chips油炸玉米片,1
10,chocolate,7
11,dark,7
12,farmer,36
13,intense,7
14,john香肠,36
15,lindt,7
16,orange,7
17,paul全麦面包,1
18,qq糖,1
19,sinsin酸甜辣椒酱,22
20,tortilla,1
21,xo酱,3
22,一品鲜酱油,2
23,丁香,69
24,丁香鱼,3
25,三元脱脂鲜牛奶,1
26,三文鱼,9
27,三花酒,5
28,三道鳞鱼,1
29,三黄鸡,42
30,上海青,1
31,东北大酱,2
32,东北豆瓣酱,1
33,东北酸菜,10
34,东头烧肉,1
35,丝瓜,64
36,两斤左右的鸡,1
37,中筋面粉,2
38,中粉,1
39,丸子,1
40,乌参,3
41,乌梅,3
42,乌贼鲜,2
43,乌醋,4
44,乌骨鸡,13
45,乌鱼,2
46,乌鱼蛋,2
47,乌鳢,22
48,乐惠紫菜汤海鲜味,16
49,乐购香辣牛肉粒,1
50,九制话梅,1
51,九层塔,10
52,乳酸菌,1
53,乳鸽,9
54,二刀肉,1
55,二汤,3
56,二荆条,1
57,二荆条干辣椒,1
58,五指毛桃,6
59,五月鲜桃,4
60,五花肉,517
61,五花肉或前腿肉,1
62,五花肉馅,1
63,五香粉,248
64,五香粉秘制酱,1
65,亚硝酸钠,2
66,亚麻籽油,3
67,京葱,2
68,人参,3
69,人参籽,1
70,仔姜,2
71,仔鸡,2
72,低筋面粉,65
73,低筋面粉油酥,1
74,低粉水油皮,1
75,佛手瓜,6
76,元葱,1
77,元贞糖,483
78,光明益生菌原味酸牛奶,1
79,兔子肉,1
80,兔肉,13
81,兔腿,2
82,党参,10
83,全料蒸肉粉,2
84,全麦粉,9
85,八爪鱼,1
86,八角,599
87,公鸡,12
88,公鸡牌三色蝴蝶意大利面,1
89,公鸡肉,1
90,六月香酱,1
91,六月鲜特级原汁酱油,1
92,六月鲜特级酱油,1
93,兰花蟹,1
94,内脂粉,1
95,内酯,1
96,内酯豆腐,8
97,冬枣,1
98,冬瓜,90
99,冬瓜糖,1
100,冬笋,300
101,冬菇干,74
102,冬菜,20
103,冬虫夏草,3
104,冰块,5
105,冰水,5
106,冰淇淋,34
107,冰白开水若干,1
108,冰糖,271
109,冲菜,1
110,冷榨工艺花生油,1
111,冷面,2
112,冻干草菇,1
113,冻豆腐,15
114,凉开水,6
115,凉白开,1
116,凉粉,6
117,凉薯,6
118,凤尾菇,1
119,凤爪,2
120,凤眼果,1
121,刀豆,2
122,刁子鱼,3
123,刺儿菜,1
124,刺老芽,1
125,剁椒,93
126,剁椒茉莉花,1
127,剁椒调味汁,1
128,剁椒酱,7
129,剁辣椒,15
130,加吉鱼,4
131,包公鱼,1
132,包菜,4
133,北京填鸭,1
134,北杏仁,9
135,北极虾,4
136,北极贝,2
137,北芪,1
138,北豆腐,39
139,十三香,76
140,十三香粉,1
141,千岛酱,2
142,千张,2
143,千张包子,1
144,千张豆皮,2
145,千页豆腐,1
146,午餐肉,4
147,半片鸭,1
148,南乳,1
149,南乳汁,1
150,南山益生菌酸奶,16
151,南瓜,115
152,南瓜子炒,4
153,南瓜泥,4
154,南瓜藤,1
155,南豆腐,46
156,卞萝卜,1
157,卤水,15
158,卤汁,4
159,卤牛肉,2
160,卤肉,1
161,卤蛋,1
162,印度飞饼,2
163,卷心菜,137
164,去皮五花肉,1
165,去皮熟花生米,1
166,去皮猪肉,1
167,去骨鸡腿肉,1
168,又伊鲜酱油,1
169,叉烧肉,9
170,叉烧酱,31
171,双椒鱼调料,1
172,发菜干,22
173,发酵粉,10
174,口蘑,32
175,可乐,15
176,可可粉,17
177,史云生清鸡汤,1
178,吉利丁,4
179,吉士粉,9
180,吊瓜,1
181,后臀肉,1
182,吐司,1
183,向阳坊辣味海苔烧,1
184,味噌,3
185,味好美海苔豆腐汤,1
186,味极鲜,15
187,味极鲜酱油,11
188,味精,1761
189,味精可以不放,1
190,味精鸡精,1
191,味素,1
192,味霖,1
193,味鲜汁,1
194,咖啡,4
195,咖啡酒,4
196,咖喱,19
197,咖喱粉,12
198,咖喱粉秘制酱,1
199,咸肉,35
200,咸菜,18
201,咸萝卜干碎,1
202,咸蛋黄,5
203,咸鱼,5
204,咸鸭蛋,29
205,哈密瓜,3
206,啤酒,68
207,喼汁,1
208,嗨e点北海鲜匠白汤,2
209,四季豆,38
210,四川红泡椒,1
211,四川麻辣酱,1
212,四棱豆,2
213,回锅肉,1
214,圆椒,1
215,圆生菜,5
216,圆茄子,2
217,土豆,183
218,土豆泥,1
219,土豆粉,2
220,土豆粉条,1
221,土鸡,2
222,土鸡蛋,4
223,圣女果,17
224,地瓜粉,18
225,地瓜粉条,1
226,地衣水浸,2
227,培根,25
228,基围虾,13
229,塔塔粉,1
230,塘水虾,2
231,塘虱鱼,1
232,墨鱼,18
233,墨鱼丸,3
234,墨鱼圈,1
235,夏枯草,1
236,外婆菜,2
237,多宝鱼,1
238,大包粉,1
239,大头菜,1
240,大料,22
241,大料t,1
242,大江盐酥鸡,5
243,大油,1
244,大白菜,12
245,大白菜帮,1
246,大米,115
247,大米粉,1
248,大红菇干,1
249,大红袍花椒,1
250,大葱,121
251,大葱大蒜,1
252,大葱葱白,6
253,大蒜,310
